C[C@@H](CNC(=O)[C@H]1CCC[NH2+]1)[NH+](C)C ZINC000037985556
C[C@H](CNC(=O)[C@H]1CCC[NH2+]1)[NH+](C)C ZINC000037985557
C[C@@H](CNC(=O)C[NH3+])[NH+]1CCCCC1 ZINC000038029434
C[C@H](CNC(=O)C[NH3+])[NH+]1CCCCC1 ZINC000038029435
C[NH+](C)CCNC1CC[NH2+]CC1 ZINC000038040455
CC(=O)NCC[NH2+]C1CC[NH2+]CC1 ZINC000038040747
OCCC[NH2+]C1CC[NH2+]CC1 ZINC000038040757
OCCOCC[NH2+]C1CC[NH2+]CC1 ZINC000038040772
OCC[NH2+]C1CC[NH2+]CC1 ZINC000038040813
COC(=O)CC[NH2+]C1CC[NH2+]CC1 ZINC000038040824
C[C@H](O)C[NH2+]C1CC[NH2+]CC1 ZINC000038040846
C[C@@H](O)C[NH2+]C1CC[NH2+]CC1 ZINC000038040847
C[C@@H](CO)[NH2+]C1CC[NH2+]CC1 ZINC000038040848
C[C@H](CO)[NH2+]C1CC[NH2+]CC1 ZINC000038040849
NC(=O)CC[NH2+]C1CC[NH2+]CC1 ZINC000038040862
[NH3+]CCNC1CC[NH2+]CC1 ZINC000038041464
[NH3+]CCCNC1CC[NH2+]CC1 ZINC000038041465
CN(C)C(=O)CC[NH2+]C1CC[NH2+]CC1 ZINC000038041477
C[C@@H](CNC(=O)C[NH3+])[NH+](C)C ZINC000038089220
C[C@H](CNC(=O)C[NH3+])[NH+](C)C ZINC000038089221
C[C@@H](CNC(=O)CCC[NH3+])[NH+](C)C ZINC000038089230
C[C@H](CNC(=O)CCC[NH3+])[NH+](C)C ZINC000038089231
C[C@@H](CNC(=O)CC[NH3+])[NH+](C)C ZINC000038089232
C[C@H](CNC(=O)CC[NH3+])[NH+](C)C ZINC000038089233
C[C@@H]([NH3+])C(=O)NC[C@H](C)[NH+](C)C ZINC000038089248
C[C@@H]([NH3+])C(=O)NC[C@@H](C)[NH+](C)C ZINC000038089249
C[C@H]([NH3+])C(=O)NC[C@H](C)[NH+](C)C ZINC000038089250
C[C@H](CNC(=O)[C@H](C)[NH3+])[NH+](C)C ZINC000038089251
C[NH2+]CC(=O)NC[C@H](C)[NH+](C)C ZINC000038089254
C[NH2+]CC(=O)NC[C@@H](C)[NH+](C)C ZINC000038089255
CC[C@H]([NH3+])C(=O)NC[C@@H](C)[NH+](C)C ZINC000038089322
CC[C@@H]([NH3+])C(=O)NC[C@@H](C)[NH+](C)C ZINC000038089323
CC[C@H]([NH3+])C(=O)NC[C@H](C)[NH+](C)C ZINC000038089324
CC[C@@H]([NH3+])C(=O)NC[C@H](C)[NH+](C)C ZINC000038089325
C[C@H](CNC(=O)C[C@H](C)[NH3+])[NH+](C)C ZINC000038089330
C[C@@H]([NH3+])CC(=O)NC[C@@H](C)[NH+](C)C ZINC000038089331
C[C@H]([NH3+])CC(=O)NC[C@H](C)[NH+](C)C ZINC000038089332
C[C@@H]([NH3+])CC(=O)NC[C@H](C)[NH+](C)C ZINC000038089333
C[C@@H](CNC(=O)C[NH2+]C1CC1)[NH+](C)C ZINC000038089334
C[C@H](CNC(=O)C[NH2+]C1CC1)[NH+](C)C ZINC000038089335
CC[NH+]1CCC(NC(=O)C[NH3+])CC1 ZINC000038098250
CC[NH+]1CCC(NC(=O)CC[NH3+])CC1 ZINC000038098256
CC[NH+]1CCC(NC(=O)[C@@H](C)[NH3+])CC1 ZINC000038098264
CC[NH+]1CCC(NC(=O)[C@H](C)[NH3+])CC1 ZINC000038098265
C[C@@H]([NH3+])C(=O)NCCCC[NH3+] ZINC000038327589
C[C@H]1C[NH2+]CCC[NH2+]1 ZINC000038532789
CN(CCO)CCC[NH+](C)C ZINC000038635207
CN(CC[NH3+])CCCO ZINC000039077969
C[C@H]([NH3+])CN(C)CCO ZINC000039077987
C[N@H+](CCC[NH3+])CCCO ZINC000039079686
CN(C)C(=O)[C@@H]([NH3+])CCC[NH3+] ZINC000039081211
C[C@@H]1CN(CCC[NH3+])CC[NH2+]1 ZINC000039113578
C[C@H]1CN(CCC[NH3+])CC[NH2+]1 ZINC000039113579
C[C@H]1CN(CC[NH3+])C[C@H](C)[NH2+]1 ZINC000039113586
C[C@@H]1CN(CC[NH3+])C[C@@H](C)[NH2+]1 ZINC000039113587
C[N@H+]1C[C@H]2CC[C@@H](C1)N2CC[NH3+] ZINC000039113659
CC(C)([NH3+])C(=O)N1CC[NH2+]CC1 ZINC000039113711
COC(=O)[C@H]1C[NH2+]CC[C@@H]1[NH3+] ZINC000039941234
CC[N@H+](CCC[NH3+])CCOCCO ZINC000040228747
